display_position,editorial_player_key,editorial_team_abbr,editorial_team_full_name,editorial_team_key,eligible_positions,is_undroppable,player_id,player_key,position_type,primary_position,uniform_number,bye_weeks.week,headshot.size,headshot.url,name.ascii_first,name.ascii_last,name.first,name.full,name.last,draft_analysis.average_pick,draft_analysis.average_round,draft_analysis.average_cost,draft_analysis.percent_drafted,status,has_player_notes,player_notes_last_timestamp
QB,nfl.p.4319,Pit,Pittsburgh Steelers,nfl.t.23,['QB'],0,4319,273.p.4319,O,QB,16,4,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Charlie,Batch,Charlie,Charlie Batch,Batch,0.0,0.0,0.0,0.0,,,
QB,nfl.p.4416,Ind,Indianapolis Colts,nfl.t.11,['QB'],0,4416,273.p.4416,O,QB,8,4,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Matt,Hasselbeck,Matt,Matt Hasselbeck,Hasselbeck,0.0,0.0,0.0,0.0,,,
K,nfl.p.4587,Det,Detroit Lions,nfl.t.8,['K'],0,4587,273.p.4587,K,K,2,5,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,David,Akers,David,David Akers,Akers,80.0,8.8,2.9,1.0,,,
WR,nfl.p.4755,Bal,Baltimore Ravens,nfl.t.33,['WR'],0,4755,273.p.4755,O,WR,80,8,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Brandon,Stokley,Brandon,Brandon Stokley,Stokley,0.0,0.0,0.0,0.0,,,
WR,nfl.p.4863,GB,Green Bay Packers,nfl.t.9,['WR'],0,4863,273.p.4863,O,WR,80,10,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Donald,Driver,Donald,Donald Driver,Driver,119.0,12.6,1.3,0.03,,,
TE,nfl.p.4926,Atl,Atlanta Falcons,nfl.t.1,['TE'],0,4926,273.p.4926,O,TE,82,7,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Joe,Zelenka,Joe,Joe Zelenka,Zelenka,0.0,0.0,0.0,0.0,,,
WR,nfl.p.5037,Pit,Pittsburgh Steelers,nfl.t.23,['WR'],0,5037,273.p.5037,O,WR,80,4,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Plaxico,Burress,Plaxico,Plaxico Burress,Burress,124.5,13.2,1.6,0.04,,,
K,nfl.p.5046,Sea,Seattle Seahawks,nfl.t.26,['K'],0,5046,273.p.5046,K,K,11,11,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Sebastian,Janikowski,Sebastian,Sebastian Janikowski,Janikowski,76.6,8.5,2.9,1.0,,,
QB,nfl.p.5104,Atl,Atlanta Falcons,nfl.t.1,['QB'],0,5104,273.p.5104,O,QB,8,7,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Chris,Redman,Chris,Chris Redman,Redman,0.0,0.0,0.0,0.0,,,
K,nfl.p.5198,Was,Washington Commanders,nfl.t.28,['K'],0,5198,273.p.5198,K,K,1,10,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Neil,Rackers,Neil,Neil Rackers,Rackers,123.5,13.0,1.0,0.65,,,
QB,nfl.p.5228,TB,Tampa Bay Buccaneers,nfl.t.27,['QB'],0,5228,273.p.5228,O,QB,12,5,small,https://s.yimg.com/iu/api/res/1.2/Z71ic_5aqQfGl9n0xGMgkA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/10012020/5228.png,Tom,Brady,Tom,Tom Brady,Brady,8.2,1.3,37.9,1.0,,,
TE,nfl.p.5259,SF,San Francisco 49ers,nfl.t.25,['TE'],0,5259,273.p.5259,O,TE,86,9,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Brian,Jennings,Brian,Brian Jennings,Jennings,0.0,0.0,0.0,0.0,,,
TE,nfl.p.5341,Was,Washington Commanders,nfl.t.28,['TE'],0,5341,273.p.5341,O,TE,54,10,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Justin,Snow,Justin,Justin Snow,Snow,0.0,0.0,0.0,0.0,,,
TE,nfl.p.5381,Ari,Arizona Cardinals,nfl.t.22,['TE'],0,5381,273.p.5381,O,TE,82,10,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Mike,Leach,Mike,Mike Leach,Leach,0.0,0.0,0.0,0.0,,,
K,nfl.p.5388,TB,Tampa Bay Buccaneers,nfl.t.27,['K'],0,5388,273.p.5388,K,K,4,5,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Rian,Lindell,Rian,Rian Lindell,Lindell,119.4,12.5,1.3,0.02,,,
K,nfl.p.5447,Chi,Chicago Bears,nfl.t.3,['K'],0,5447,273.p.5447,K,K,4,6,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Jay,Feely,Jay,Jay Feely,Feely,0.0,0.0,0.0,0.0,,,
QB,nfl.p.5448,Pit,Pittsburgh Steelers,nfl.t.23,['QB'],0,5448,273.p.5448,O,QB,2,4,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Mike,Vick,Mike,Mike Vick,Vick,48.1,5.4,18.3,1.0,,,
WR,nfl.p.5463,Was,Washington Commanders,nfl.t.28,['WR'],0,5463,273.p.5463,O,WR,89,10,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Santana,Moss,Santana,Santana Moss,Moss,126.2,13.4,2.3,0.87,,,
WR,nfl.p.5477,NE,New England Patriots,nfl.t.17,['WR'],0,5477,273.p.5477,O,WR,15,9,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Reggie,Wayne,Reggie,Reggie Wayne,Wayne,88.6,9.6,8.0,1.0,,,
TE,nfl.p.5478,Ari,Arizona Cardinals,nfl.t.22,['TE'],0,5478,273.p.5478,O,TE,86,10,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Todd,Heap,Todd,Todd Heap,Heap,0.0,0.0,0.0,0.0,,,
QB,nfl.p.5479,NO,New Orleans Saints,nfl.t.18,['QB'],0,5479,273.p.5479,O,QB,9,6,small,https://s.yimg.com/iu/api/res/1.2/ZtLbvTkpsfmXFTvkzUyceg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/10012020/5479.png,Drew,Brees,Drew,Drew Brees,Brees,8.7,1.3,38.4,1.0,,,
WR,nfl.p.5483,Mia,Miami Dolphins,nfl.t.15,['WR'],0,5483,273.p.5483,O,WR,85,7,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Chad,Johnson,Chad,Chad Johnson,Johnson,122.8,14.2,1.6,0.02,,,
WR,nfl.p.5521,Bal,Baltimore Ravens,nfl.t.33,['WR'],0,5521,273.p.5521,O,WR,89,8,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Steve,Smith Sr.,Steve,Steve Smith Sr.,Smith Sr.,36.8,4.3,23.7,1.0,,,
QB,nfl.p.5557,Min,Minnesota Vikings,nfl.t.16,['QB'],0,5557,273.p.5557,O,QB,18,11,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Sage,Rosenfels,Sage,Sage Rosenfels,Rosenfels,0.0,0.0,0.0,0.0,,,
RB,nfl.p.5563,Hou,Houston Texans,nfl.t.34,['RB'],0,5563,273.p.5563,O,RB,40,8,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Moran,Norris,Moran,Moran Norris,Norris,0.0,0.0,0.0,0.0,,,
WR,nfl.p.5652,LV,Las Vegas Raiders,nfl.t.13,['WR'],0,5652,273.p.5652,O,WR,84,5,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,T.J.,Houshmandzadeh,T.J.,T.J. Houshmandzadeh,Houshmandzadeh,0.0,0.0,0.0,0.0,,,
K,nfl.p.5854,Atl,Atlanta Falcons,nfl.t.1,['K'],0,5854,273.p.5854,K,K,17,7,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Shayne,Graham,Shayne,Shayne Graham,Graham,0.0,0.0,0.0,0.0,,,
QB,nfl.p.5887,NYG,New York Giants,nfl.t.19,['QB'],0,5887,273.p.5887,O,QB,8,11,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,David,Carr,David,David Carr,Carr,0.0,0.0,0.0,0.0,,,
WR,nfl.p.5899,Was,Washington Commanders,nfl.t.28,['WR'],0,5899,273.p.5899,O,WR,14,10,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Donte',Stallworth,Donte',Donte' Stallworth,Stallworth,0.0,0.0,0.0,0.0,,,
TE,nfl.p.5907,NO,New Orleans Saints,nfl.t.18,['TE'],0,5907,273.p.5907,O,TE,89,6,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Daniel,Graham,Daniel,Daniel Graham,Graham,0.0,0.0,0.0,0.0,,,
WR,nfl.p.5919,Mia,Miami Dolphins,nfl.t.15,['WR'],0,5919,273.p.5919,O,WR,10,7,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Jabar,Gaffney,Jabar,Jabar Gaffney,Gaffney,126.4,13.4,1.3,0.04,,,
WR,nfl.p.5949,Sea,Seattle Seahawks,nfl.t.26,['WR'],0,5949,273.p.5949,O,WR,84,11,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Antonio,Bryant,Antonio,Antonio Bryant,Bryant,0.0,0.0,0.0,0.0,,,
WR,nfl.p.5951,Ind,Indianapolis Colts,nfl.t.11,['WR'],0,5951,273.p.5951,O,WR,86,4,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Deion,Branch,Deion,Deion Branch,Branch,121.0,12.8,1.2,0.02,,,
QB,nfl.p.5967,Hou,Houston Texans,nfl.t.34,['QB'],0,5967,273.p.5967,O,QB,3,8,small,https://s.yimg.com/iu/api/res/1.2/1MizG6krzg8AnIX9mR7nAw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/11242020/5967.png,Josh,McCown,Josh,Josh McCown,McCown,0.0,0.0,0.0,0.0,,,
TE,nfl.p.5989,Pit,Pittsburgh Steelers,nfl.t.23,['TE'],0,5989,273.p.5989,O,TE,47,4,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Justin,Peelle,Justin,Justin Peelle,Peelle,0.0,0.0,0.0,0.0,,,
QB,nfl.p.5994,NYJ,New York Jets,nfl.t.20,['QB'],0,5994,273.p.5994,O,QB,4,9,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,David,Garrard,David,David Garrard,Garrard,0.0,0.0,0.0,0.0,,,
TE,nfl.p.6000,LAC,Los Angeles Chargers,nfl.t.24,['TE'],0,6000,273.p.6000,O,TE,81,7,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Randy,McMichael,Randy,Randy McMichael,McMichael,0.0,0.0,0.0,0.0,,,
RB,nfl.p.6119,SF,San Francisco 49ers,nfl.t.25,['RB'],0,6119,273.p.6119,O,RB,28,9,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Rock,Cartwright,Rock,Rock Cartwright,Cartwright,0.0,0.0,0.0,0.0,,,
